,0
0,Fronleichnam
1,Alexander Zverev
2,KFC Uerdingen
3,Romy Walthall
4,Celonis
5,Frank Kameny
6,Johannes Oerding
7,Rummenigge
8,Charlotte Würdig
9,Vogelgrippe
10,Tom Holland
11,Carlo Ancelotti
12,Sahra Wagenknecht
13,Bedingungsloses Grundeinkommen
14,Gerhard Schröder
15,Norbert Bebensee
16,Giovanni Brusca
17,Matthias Steiner
18,U21-EM
19,Lil Loaded
