,0
0,Covid vaccine
1,England football
2,Carl Nassib
3,Avril Lavigne
4,Pete Doherty
5,Dogecoin
6,Kate Hudson
7,E10 fuel
8,Summer Season
9,Love Island 2021
10,North Macedonia
11,Finland vs Belgium
12,Billy Gilmour
13,Clubfoot
14,Tom Stoltman
15,Usain Bolt
16,Belgium FC
17,Harry Kane
18,Laurel Hubbard
19,Hell in a Cell 2021
