,0
0,Sam Seder
1,Covid vaccine
2,Jude Bellingham
3,Billie Eilish
4,Carl Nassib
5,England fc
6,Avril Lavigne
7,Jordan Henderson
8,Kate Hudson
9,LUKE SHAW
10,Pete Doherty
11,Finance
12,Bumble
13,John McGinn
14,Khloe Kardashian
15,Dogecoin
16,Wembley Stadium
17,Denise Welch
18,E10 fuel
19,England football
