,0
0,Eurovision 2021
1,Jeffrey Epstein
2,La Liga
3,Simba vs Kaizer Chiefs
4,Mamelodi Sundowns vs Al Ahly
5,Eibar vs Barcelona
6,CAF Confederation Cup
7,Dortmund vs Leverkusen
8,Bayern vs Augsburg
9,F1 qualifying
10,AKA interview
11,Stormers vs Sharks
12,Ligue 1
13,Vin Diesel
14,BrentfordFC
15,Liverpool vs Crystal Palace
16,Wydad Casablanca
17,Pentecost
18,Bafana Bafana squad
19,Saftas 2021
